CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,ID_Group,Num_In_Group,Ship_Deck,Cabin_Num,Total_Spent,HomePlanet_Earth,HomePlanet_Europa,Destination_55 Cancri e,Destination_TRAPPIST-1e,Ship_Side_S
0,0.5423405734956473,0,0.0,0.0,0.0,0.0,0.0,False,0.00010775862068965517,1,2,0.0,0.0,0,1,0,1,0
0,0.3337480452280907,0,0.7872628726287262,0.6717171717171717,0.7169811320754716,1.0,0.7249322493224931,True,0.00021551724137931034,1,6,0.0,0.520434227330779,1,0,0,1,1
0,0.8065577759678858,1,0.7128712871287128,1.0,0.0,1.0,0.7317073170731707,False,0.0003232758620689655,1,1,0.0,1.0,0,1,0,1,1
0,0.4589035621886247,0,0.0,1.0,1.0,1.0,1.0,False,0.0003232758620689655,2,1,0.0,0.9698492462311558,0,1,0,1,1
0,0.22249869681872714,0,1.0,0.7157287157287157,1.0,1.0,0.6680216802168021,True,0.0004310344827586207,1,6,0.0005279831045406547,0.6801587301587301,1,0,0,1,1
0,0.6118714162514997,0,0.0,1.0,0.0,1.0,0.0,True,0.0005387931034482759,1,6,0.0,0.5446998722860792,1,0,0,0,0
0,0.3615603823304316,0,0.7117711771177118,1.0,0.670859538784067,0.0,0.0,True,0.000646551724137931,1,6,0.0010559662090813093,0.7584126984126983,1,0,0,1,1
1,0.38937271943277246,0,0.0,0.0,0.0,0.0,0.0,True,0.000646551724137931,2,7,0.0,0.0,1,0,0,1,1
0,0.4867158992909656,0,0.0,1.0,0.70020964360587,1.0,0.0,True,0.0007543103448275862,1,6,0.0015839493136219642,0.6685714285714285,1,0,0,1,1
1,0.19468635971638623,0,0.0,0.0,0.0,0.0,0.0,True,0.0008620689655172414,1,2,0.0005279831045406547,0.0,0,1,1,0,0
1,0.47280973073979515,0,0.0,0.0,0.0,0.0,0.0,True,0.0008620689655172414,2,2,0.0005279831045406547,0.0,0,1,0,1,0
0,0.6257775848026701,0,0.7084708470847084,1.0,1.0,0.7818181818181817,0.8340192043895747,True,0.0008620689655172414,3,2,0.0005279831045406547,1.0,0,1,1,0,0
0,0.4449973936374543,0,0.7458745874587458,0.0,1.0,0.0,0.8189300411522633,True,0.0009698275862068965,1,6,0.0005279831045406547,0.7147619047619047,0,0,0,1,0
0,0.6674960904561814,0,1.0,0.6111111111111112,0.8022222222222222,0.0,0.6978319783197832,False,0.0010775862068965517,1,7,0.0005279831045406547,0.5648578811369509,1,0,0,1,1
0,0.38937271943277246,0,0.6743674367436743,1.0,0.6897274633123689,0.6111111111111112,0.6747967479674797,True,0.0011853448275862069,1,6,0.0010559662090813093,0.6651162790697674,1,0,0,1,0
0,0.43109122508628384,0,0.7007700770077008,0.0,1.0,0.0,0.0,False,0.001293103448275862,1,2,0.1747624076029567,0.6160206718346253,1,0,0,1,0
0,0.375466550881602,0,1.0,0.7532467532467532,0.0,0.0,0.0,False,0.0015086206896551724,1,6,0.0015839493136219642,0.7304761904761904,0,0,1,0,0
0,0.3337480452280907,0,0.0,0.6111111111111112,0.0,0.0,1.0,False,0.0016163793103448276,1,6,0.0021119324181626186,0.4578544061302682,1,0,1,0,0
